table[0]: Key: , Frequency: 2, Probe Count: 0
table[4]: Key: whate'er, Frequency: 2, Probe Count: 0
table[8]: Key: cried, Frequency: 20, Probe Count: 0
table[19]: Key: scratching, Frequency: 1, Probe Count: 0
table[23]: Key: cries, Frequency: 3, Probe Count: 0
table[69]: Key: cure, Frequency: 5, Probe Count: 0
table[73]: Key: enemy, Frequency: 5, Probe Count: 0
table[97]: Key: a, Frequency: 865, Probe Count: 0
table[99]: Key: c, Frequency: 1, Probe Count: 0
table[100]: Key: d, Frequency: 1, Probe Count: 0
table[101]: Key: e, Frequency: 6, Probe Count: 0
table[105]: Key: i, Frequency: 815, Probe Count: 0
table[109]: Key: m, Frequency: 4, Probe Count: 0
table[111]: Key: o, Frequency: 55, Probe Count: 0
table[112]: Key: p, Frequency: 1, Probe Count: 0
table[116]: Key: t, Frequency: 1, Probe Count: 0
table[118]: Key: v, Frequency: 2, Probe Count: 0
table[119]: Key: w, Frequency: 1, Probe Count: 0
table[120]: Key: x, Frequency: 2, Probe Count: 0
table[158]: Key: consider, Frequency: 5, Probe Count: 0
table[177]: Key: grievances, Frequency: 2, Probe Count: 0
table[229]: Key: energetic, Frequency: 1, Probe Count: 0
table[233]: Key: shilling, Frequency: 1, Probe Count: 0
table[257]: Key: crime, Frequency: 6, Probe Count: 0
table[304]: Key: whence, Frequency: 3, Probe Count: 0
table[325]: Key: tombs, Frequency: 1, Probe Count: 0
table[356]: Key: trespass, Frequency: 2, Probe Count: 1
table[373]: Key: howled, Frequency: 1, Probe Count: 0
table[376]: Key: caught, Frequency: 3, Probe Count: 0
table[378]: Key: peeped, Frequency: 3, Probe Count: 0
table[389]: Key: writhing, Frequency: 1, Probe Count: 0
table[391]: Key: painter's, Frequency: 1, Probe Count: 0
table[429]: Key: occasional, Frequency: 1, Probe Count: 0
table[433]: Key: derives, Frequency: 1, Probe Count: 0
table[436]: Key: impartial, Frequency: 1, Probe Count: 0
table[441]: Key: cupid, Frequency: 3, Probe Count: 0
table[449]: Key: salve, Frequency: 2, Probe Count: 0
table[454]: Key: forehead, Frequency: 2, Probe Count: 0
table[494]: Key: hungry, Frequency: 5, Probe Count: 0
table[515]: Key: suff'ring, Frequency: 1, Probe Count: 0
table[526]: Key: alchemy, Frequency: 2, Probe Count: 0
table[583]: Key: tincture, Frequency: 1, Probe Count: 1
table[611]: Key: act, Frequency: 6, Probe Count: 0
table[617]: Key: gentle, Frequency: 14, Probe Count: 0
table[623]: Key: ada, Frequency: 1, Probe Count: 0
table[626]: Key: add, Frequency: 4, Probe Count: 0
table[635]: Key: 'gainst, Frequency: 6, Probe Count: 0
table[637]: Key: gently, Frequency: 4, Probe Count: 0
table[648]: Key: hate's, Frequency: 1, Probe Count: 0
table[664]: Key: forward, Frequency: 1, Probe Count: 0
table[670]: Key: affords, Frequency: 2, Probe Count: 0
table[672]: Key: mayn't, Frequency: 1, Probe Count: 0
table[720]: Key: age, Frequency: 20, Probe Count: 0
table[730]: Key: ago, Frequency: 2, Probe Count: 0
table[781]: Key: aid, Frequency: 3, Probe Count: 0
table[795]: Key: air, Frequency: 19, Probe Count: 0
table[798]: Key: pray, Frequency: 4, Probe Count: 0
table[812]: Key: lamentation, Frequency: 1, Probe Count: 0
table[823]: Key: gentry, Frequency: 1, Probe Count: 0
table[840]: Key: neigh, Frequency: 1, Probe Count: 0
table[842]: Key: swears, Frequency: 1, Probe Count: 0
table[845]: Key: acceptable, Frequency: 1, Probe Count: 0
table[864]: Key: delight, Frequency: 11, Probe Count: 0
table[882]: Key: all, Frequency: 313, Probe Count: 0
table[900]: Key: limbs, Frequency: 3, Probe Count: 0
table[910]: Key: slowness, Frequency: 1, Probe Count: 0
table[922]: Key: prey, Frequency: 2, Probe Count: 0
table[932]: Key: would, Frequency: 116, Probe Count: 0
table[934]: Key: neglect, Frequency: 2, Probe Count: 0
table[936]: Key: and, Frequency: 1463, Probe Count: 0
table[946]: Key: ann, Frequency: 4, Probe Count: 0
table[947]: Key: sullen, Frequency: 2, Probe Count: 0
table[957]: Key: any, Frequency: 56, Probe Count: 0
table[979]: Key: stirring, Frequency: 2, Probe Count: 0
table[981]: Key: defendant, Frequency: 1, Probe Count: 0
table[994]: Key: wound, Frequency: 5, Probe Count: 0
table[1020]: Key: fever, Frequency: 2, Probe Count: 0
table[1024]: Key: barrowful, Frequency: 2, Probe Count: 0
table[1045]: Key: twenty, Frequency: 5, Probe Count: 0
table[1061]: Key: are, Frequency: 140, Probe Count: 0
table[1069]: Key: arm, Frequency: 16, Probe Count: 0
table[1073]: Key: hatter's, Frequency: 1, Probe Count: 0
table[1076]: Key: art, Frequency: 51, Probe Count: 0
table[1097]: Key: respects, Frequency: 1, Probe Count: 0
table[1098]: Key: ask, Frequency: 12, Probe Count: 0
table[1112]: Key: chimney, Frequency: 6, Probe Count: 0
table[1118]: Key: limit, Frequency: 2, Probe Count: 0
table[1123]: Key: ate, Frequency: 1, Probe Count: 0
table[1147]: Key: plagues, Frequency: 2, Probe Count: 0
table[1182]: Key: favour, Frequency: 5, Probe Count: 0
table[1215]: Key: reduced, Frequency: 1, Probe Count: 0
table[1237]: Key: heart's, Frequency: 8, Probe Count: 0
table[1240]: Key: harsh, Frequency: 1, Probe Count: 0
