table[0]:  4 1
table[1]: enfetter'd 1 1
table[2]: atherton 2 1
table[4]: whate'er 26 1
table[8]: cried 91 1
table[9]: lewdly 2 2
table[11]: mansfield 5 1
table[12]: logothete 1 1
table[13]: marocain 1 2
table[16]: episode 6 1
table[17]: lin'd 5 1
table[19]: scratching 4 1
table[21]: cups 9 1
table[22]: crier 7 1
table[23]: cries 66 1
table[24]: cohabitants 1 3
table[25]: salhn 1 2
table[26]: presentative 3 5
table[27]: effervescing 1 4
table[29]: feuds 5 1
table[30]: lepsius 1 1
table[31]: principate 2 1
table[32]: oostenaula 1 4
table[36]: diedst 1 1
table[37]: infused 4 1
table[39]: hypertrophy 2 1
table[40]: frontage 1 1
table[42]: reproachful 2 1
table[46]: intimated 9 1
table[47]: hutton 10 1
table[50]: russian 46 1
table[54]: salim 1 1
table[61]: firmament 7 1
table[65]: cura 2 1
table[66]: curb 10 1
table[68]: curd 11 1
table[69]: cure 65 1
table[70]: columbines 1 3
table[71]: bestows 6 1
table[72]: gough's 1 3
table[73]: enemy 192 1
table[74]: angelica 2 2
table[75]: brazil 17 1
table[76]: curl 2 1
table[79]: curo 1 1
table[80]: arimondi 2 2
table[81]: iranian 4 2
table[82]: publish'd 4 1
table[83]: curs 14 1
table[84]: hunger 19 1
table[85]: curt 2 2
table[86]: constructor 6 3
table[87]: bondslave 1 1
table[88]: political 138 1
table[89]: spalato 2 1
table[92]: hipp'd 2 1
table[95]: effusions 1 1
table[96]: edinburgh 71 1
table[97]: a 28177 1
table[98]: b 533 1
table[99]: c 1224 1
table[100]: d 490 1
table[101]: e 773 1
table[102]: venison 6 2
table[103]: padua 48 2
table[104]: h 410 1
table[105]: i 21440 1
table[106]: g 430 4
table[107]: castaways 1 1
table[108]: l 368 1
table[109]: m 770 1
table[110]: grindstone 1 2
table[111]: o 2409 1
table[112]: p 488 1
table[113]: stump 1 1
table[114]: r 323 1
table[115]: s 552 1
table[116]: t 157 1
table[117]: trowel 1 2
table[118]: v 592 1
table[119]: w 430 1
table[120]: x 127 1
table[121]: y 49 1
table[122]: u 94 6
table[123]: troy's 1 1
table[124]: chambermaids 2 2
table[125]: traveling 1 7
table[126]: q 239 14
table[127]: f 401 26
table[128]: oppugnancy 1 1
table[129]: n 332 20
table[130]: j 351 25
table[131]: prick'd 15 1
table[132]: convoyed 2 20
table[133]: relinquishment 2 26
table[134]: k 134 28
table[135]: stung 7 1
table[136]: unexperient 1 2
table[137]: portuguese 104 11
table[138]: z 16 17
table[139]: fettle 1 1
table[140]: unrecognized 1 7
table[141]: breslau 6 6
table[142]: sallh 1 1
table[143]: salle 1 5
table[144]: berzelius 5 49
table[145]: cuts 16 1
table[146]: tender'd 3 1
table[147]: nourishment 8 2
table[148]: prick't 1 2
table[149]: zaccaria 1 5
table[150]: d'abondance 1 1
table[151]: amphibian 1 17
table[152]: purchaser'' 1 37
table[153]: padus 2 34
table[154]: visard 1 1
table[155]: stipulations 2 50
table[156]: ocotea 2 56
table[157]: cust 1 43
table[158]: consider 78 1
table[159]: sally 4 1
table[160]: comrades 1 1
table[161]: lemons 1 64
table[162]: science'' 2 1
table[164]: sinel's 1 1
table[165]: explosives 3 2
table[166]: skand 1 1
table[167]: colloquially 1 1
table[168]: dyspepsia 1 5
table[169]: kayes 1 2
table[170]: calvinism 1 2
table[173]: sleekly 1 1
table[174]: inducements 2 2
table[175]: tegele 1 1
table[177]: grievances 13 1
table[178]: silvius 44 1
table[179]: poorhouses 1 3
table[180]: salmo 1 1
table[181]: loyall 1 5
table[183]: facere 4 1
table[184]: writhigs 1 1
table[185]: monarchize 1 1
table[186]: jahangir 2 2
table[187]: babel 2 2
table[188]: l'administration 1 5
table[189]: ferments 2 6
table[191]: bred'' 1 1
table[192]: cheerly 13 1
table[193]: babes 22 1
table[194]: pisanio 103 1
table[195]: purchaser's 1 4
table[196]: duiker 1 1
table[197]: 'beseech 1 1
table[198]: baber 7 7
table[202]: seduction 1 1
table[204]: abus'd 29 1
table[205]: wench's 1 1
table[206]: wight 9 1
table[207]: refectory 56 3
table[208]: poetical 11 1
table[209]: hypotheses 6 2
table[210]: hermia's 7 1
table[211]: otis's 1 7
table[212]: subsists 1 9
table[216]: cockerell 3 1
table[219]: tasters 1 1
table[222]: litterae 1 1
table[224]: council 210 1
table[225]: tarsus 2 2
table[226]: substitute 25 1
table[229]: energetic 10 1
table[233]: shilling 7 1
table[235]: lille 11 1
table[241]: salon 3 1
table[243]: salop 1 1
table[246]: uchomo 1 1
table[247]: vater 2 1
table[248]: certificates 6 3
table[249]: basilicae 1 2
table[252]: thwarted 5 1
table[254]: card'nal 1 1
table[256]: whenas 1 1
table[257]: crime 40 1
table[258]: basilican 3 2
table[261]: hears'd 1 1
table[262]: basilicas 2 1
table[263]: pedascule 1 1
table[264]: satisfying 10 1
table[265]: eyeless 6 2
table[266]: sturm 2 2
table[268]: parsons 6 1
table[273]: comutual 1 1
table[276]: disqualified 3 1
table[279]: sour'd 1 1
table[280]: blam'd 3 1
table[281]: belov'd 31 2
table[288]: atwain 2 1
table[289]: ecclesiasticae 3 2
table[290]: drinker 1 1
table[291]: rivalling 1 2
table[292]: toman 1 4
